Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/12/18,Hantsport,100,To meet constituents,Hosting a reception or open house,M0324595,"Nancy Hazel ",1637.50
2022/12/18,Hantsport,100,To meet constituents,Hosting a reception or open house,M0324595,Giant Tiger,6.76
2022/12/18,Hantsport,100,To meet constituents,Hosting a reception or open house,M0324595,"Elderkins Farm Market ",24.55
2023/01/13,New Minas,2,To plan Member's priorities and activities,Hosting a meeting,M0327634,Cumin Kitchen and Drink,39.41
2023/01/18,Saskatoon,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329749,Delta Hotels Marriott,29.00
2023/01/19,Saskatoon,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0327634,Primal Pizza,64.87
2023/01/30,Ottawa,20,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329639,House of Commons Food Services — Services de restauration de la Chambre des communes,40.25
2023/02/06,Ottawa,2,To plan Member's priorities and activities,Hosting a meeting,M0329749,"Metropolitain Brasserie ",71.15
2023/02/06,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329749,Gourmet Market,13.25
2023/02/07,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329749,Gourmet Market,12.45
2023/02/07,Ottawa,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0330497,House of Commons Food Services — Services de restauration de la Chambre des communes,149.25
2023/02/08,Ottawa,1,To plan Member's priorities and activities,Hosting a meeting,M0329749,"Social Safely ",30.00
2023/02/09,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329749,Gourmet Market,6.05
2023/02/09,Ottawa,1,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329749,Darcey McGees,25.85
2023/02/10,Windsor,2,To plan Member's priorities and activities,Hosting a meeting,M0329749,Hole in the Wall,94.00
2023/02/21,Wolfville,2,To exchange with dignitaries,Hosting a meeting,M0330708,"Troy Restaurant ",94.73
2023/03/01,Wolfville,5,To meet visitors of Member’s office,Hosting a meeting,M0332779,Cumin Kitchen and Drink,106.80
2023/03/08,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0334568,House of Commons Food Services — Services de restauration de la Chambre des communes,26.25
2023/03/13,Chester,2,To plan Member's priorities and activities,Hosting a meeting,M0332779,The Kiwi Cafe,48.07
2023/03/16,Wolfville,5,To plan Member's priorities and activities,Hosting a meeting,M0333255,Troy Restaurant & Grill,135.72
