Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/11/20,Toronto,75,To celebrate a significant event,Hosting a town hall or community event,M0335566,Metro,14.97
2022/11/20,Toronto,75,To celebrate a significant event,Hosting a town hall or community event,M0335566,Costco,188.88
2022/11/20,Toronto,75,To celebrate a significant event,Hosting a town hall or community event,M0335566,Pizza Cafe Inc,242.95
2022/11/20,Toronto,75,To celebrate a significant event,Hosting a town hall or community event,M0335566,Lady York Foods,230.47
2022/12/21,Toronto,5,To celebrate a significant event,Hosting a staff event,M0335289,Capocaccia - Italian Trattoria,115.58
2023/02/03,Toronto,20,To meet visitors of Member’s office,Hosting a reception or open house,M0335566,Metro,39.12
2023/02/03,Toronto,20,To meet visitors of Member’s office,Hosting a reception or open house,M0335566,Costco,63.24
2023/02/03,Toronto,10,To meet constituents,Hosting a meeting,M0335289,Subway,51.49
