Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/12/05,Ottawa,9,To discuss constituency issues with stakeholders,Hosting a meeting,M0324139,The Keg,458.00
2023/01/17,North Sydney,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0327080,Mariner's Galley Restaurant,90.50
2023/01/18,Sydney,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0330284,Simeon's Family Restaurant,102.80
2023/01/19,Membertou,20,To meet constituents,Hosting a reception or open house,M0324139,Needs,98.87
2023/01/19,Membertou,20,To meet constituents,Hosting a reception or open house,M0324139,Dollarama,14.00
2023/01/19,Membertou,20,To meet constituents,Hosting a reception or open house,M0324139,Membertou Chicken & Deli,107.97
2023/01/24,Sydney,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0330284,Boardwalk Tap Room and Eatery,79.98
2023/01/30,Ottawa,4,To plan Member's priorities and activities,Hosting a meeting,M0334593,Fratelli,101.00
2023/02/09,Ottawa,5,To meet visitors of Member’s office,Hosting a meeting,M0334593,Parliamentary Restaurant,186.75
2023/02/21,Sydney,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0330284,Kiju's,71.50
2023/02/27,Eskasoni,6,To discuss constituency issues with stakeholders,Community activity or event,M0334820,Sequoia's Cafe,81.75
2023/03/28,Sydney,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0334820,A Bite of Asia,87.49
