Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/09/23,St. John's,79,To meet constituents,Community activity or event,M0324280,Sobeys,24.95
2022/10/13,St. John's,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0324280,The Old Dublin Bakery,40.00
2022/10/13,St. John's,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0324280,Dominion,37.32
2022/10/14,St. John's,79,To meet constituents,Community activity or event,M0324280,Sobeys,34.93
2022/11/02,St. John's,57,To celebrate a significant event,Hosting a town hall or community event,M0330473,Sobeys,30.54
2023/02/21,St. John's,7,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330473,Domino's Pizza,65.41
2023/02/25,St. John's,7,To celebrate a significant event,Hosting a town hall or community event,M0330473,Loblaws & Sobeys,32.74
2023/02/25,St. John's,7,To celebrate a significant event,Hosting a town hall or community event,M0330473,Sobeys,70.15
2023/03/17,St. John's,30,To meet constituents,Hosting a reception or open house,M0337185,Greco Pizza,59.97
2023/03/17,St. John's,30,To meet constituents,Hosting a reception or open house,M0337185,Dollarama,30.25
