Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2023/01/17,Laval (Ville),5,To plan Member's priorities and activities,Hosting a staff event,M0326982,Nespresso,204.90
2023/01/17,Laval (Ville),5,To plan Member's priorities and activities,Hosting a staff event,M0335115,Nespresso,360.60
2023/02/09,Laval (Ville),10,To meet visitors of Member’s office,Hosting a meeting,M0329844,Boulangerie Pagé,43.70
2023/02/15,Laval,5,To meet visitors of Member’s office,Hosting a staff event,M0330602,Bourassa Alimentation,13.00
2023/02/25,Laval (Ville),1,To celebrate a significant event,Community activity or event,M0329840,eventbrite Animation culturelle,170.00
2023/03/03,Laval (Ville),5,To plan Member's priorities and activities,Hosting a staff event,M0332426,Rachel Béry,14.28
2023/03/28,Laval (Ville),3,To plan Member's priorities and activities,Hosting a meeting,M0335190,Enoteca MONZA pizzeria Moderna,185.27
