Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Welland,0,To meet visitors of Member’s office,Hosting a meeting,M0327190,Walmart,28.00
2022/09/24,Welland,150,To meet constituents,Hosting a town hall or community event,M0327070,Winners,43.95
2022/09/24,Welland,150,To meet constituents,Hosting a town hall or community event,M0327070,Giant Tiger,21.88
2022/09/24,Welland,150,To meet constituents,Hosting a town hall or community event,M0327070,Dollarama,110.32
2022/09/24,Welland,150,To meet constituents,Hosting a town hall or community event,M0334318,Shawana Family Drum,300.00
2022/09/24,Welland,150,To meet constituents,Hosting a town hall or community event,M0327070,Walmart,99.79
2022/12/18,Welland,100,To celebrate a significant event,Community activity or event,M0327190,Health Wise,100.00
2023/01/17,Welland,60,To plan Member's priorities and activities,Hosting a meeting,M0327251,Pastry Delights,145.00
2023/01/17,Welland,30,To meet constituents,Hosting a town hall or community event,M0327251,Tim Hortons,39.98
2023/01/18,Port Colborne,12,To meet constituents,Hosting a town hall or community event,M0327251,Tim Hortons,19.99
2023/01/19,Thorold,6,To meet constituents,Hosting a town hall or community event,M0327251,Tim Hortons,19.99
2023/02/10,Welland,6,To attend staff events including training,Hosting a meeting,M0329614,Sobeys,26.12
