Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/12/13,Gatineau,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0324439,Uber - Sansotei Ramen,118.09
2022/12/13,Gatineau,4,To discuss constituency issues with stakeholders,Hosting a staff event,M0324288,Sans Facon,229.39
2022/12/14,Gatineau,4,To attend staff events including training,Hosting a staff event,M0324439,Uber - Paradise Poké,127.97
2022/12/20,Amqui,4,To meet constituents,Hosting a meeting,M0324503,Au bec pointu,70.50
2023/01/19,Amqui,4,To meet constituents,Community activity or event,M0327563,Au bec pointu,74.25
2023/02/18,Saint-Fabien,1,To celebrate a significant event,"Gala, reception or ceremony",M0330915,Agricultrices du Bas-Saint-Laurent,121.76
2023/02/18,Amqui,1,To celebrate a significant event,Community activity or event,M0328151,Le point de vente,65.60
2023/03/16,Amqui,4,To meet constituents,Hosting a meeting,M0333698,AU BEC POINTU,76.00
2023/03/18,Amqui,7,To meet constituents,Hosting a meeting,M0333698,PASTALI,114.85
2023/03/25,Amqui,1,To meet constituents,Community activity or event,M0334809,Chambre de commerce de la Matapédia,280.00
