Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/09/07,Newmarket,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328795,Ian Proudfoot,65.34
2022/11/04,Newmarket,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328795,Ian Proudfoot,60.85
2022/11/09,Newmarket,6,To meet constituents,Hosting a meeting,M0328795,Erin Foy,66.67
2022/11/10,Aurora,0,To celebrate a significant event,Community activity or event,M0319931,Aurora Sports Hall of Fame,135.00
2022/11/23,Richmond Hill,2,To celebrate a significant event,Community activity or event,M0319931,Karen Merk,190.00
2022/11/30,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,Nate’s Ottawa,36.44
2022/12/13,Ottawa,10,To attend staff events including training,Hosting a meeting,M0336815,"Tosca Ristorante ",342.67
2023/01/05,Newmarket,2,To meet constituents,Hosting a meeting,M0336819,"Villa Risi Ristorante ",70.90
2023/01/06,Aurora,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,SUNNY MORNING Breakfast & Lunch,37.96
2023/01/07,Ottawa,4,"To discuss business of the House, caucus and committees",Hosting a meeting,M0336815,"Parliamentary Restaurant ",141.60
2023/01/08,Aurora,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,SUNNY MORNING Breakfast & Lunch,45.67
2023/01/10,Newmarket,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,"Cousins Restaurant ",69.27
2023/01/11,Newmarket,100,To celebrate a significant event,Hosting a town hall or community event,M0328795,Staples,44.69
2023/01/11,Newmarket,100,To celebrate a significant event,Hosting a town hall or community event,M0328618,A Million Mouthfuls Catering,1504.50
2023/01/11,Newmarket,100,To celebrate a significant event,Hosting a town hall or community event,M0328795,Erin Foy,33.89
2023/01/12,Aurora,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,Sunset Grill,76.34
2023/01/23,Newmarket,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,"The Buttery Restaurant ",44.14
2023/01/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329674,House of Commons Food Services — Services de restauration de la Chambre des communes,55.10
2023/01/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0328967,Zak's Diner Elgin St,49.47
2023/01/26,Ottawa,10,"To discuss business of the House, caucus and committees",Hosting a meeting,M0332539,House of Commons Food Services — Services de restauration de la Chambre des communes,42.17
2023/02/04,Newmarket,4,To meet constituents,Community activity or event,M0329057,RevolutionNow!,100.00
2023/02/27,Newmarket,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,"The Buttery Restaurant ",36.96
2023/02/28,Aurora,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0336815,"Symposium Cafe Restaurant ",51.37
2023/03/18,Aurora,200,To celebrate a significant event,Hosting a town hall or community event,M0337442,Niagara College Learning Enterprise Corporation,164.61
2023/03/18,Aurora,200,To celebrate a significant event,Hosting a town hall or community event,M0336814,Scientists in School,215.00
2023/03/25,Newmarket,2,To meet constituents,Community activity or event,M0329057,Rotary Club of Newmarket 2897165562,74.00
2023/03/29,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0336819,"Parliamentary Restaurant ",98.50
2023/03/30,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0336819,"Parliamentary Restaurant ",178.25
