Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/10/31,Cowansville,6,To meet visitors of Member’s office,Hosting a reception or open house,M0320977,Walmart,19.41
2023/01/09,Cowansville,5,To meet visitors of Member’s office,Hosting a meeting,M0327547,Walmart,8.95
2023/01/12,Cowansville,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0327488,La cafe,72.07
2023/01/12,Cowansville,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0327488,IGa,44.03
2023/01/16,Cowansville,5,To meet visitors of Member’s office,Hosting a staff event,M0332704,L'atelier Virgin Hill,29.20
2023/02/02,Orford,150,To meet constituents,Community activity or event,M0327547,Vision Attractivité,80.59
2023/02/14,Ottawa,100,"To discuss business of the House, caucus and committees",Hosting a town hall or community event,M0332691,SAW,107.25
2023/02/14,Ottawa,100,"To discuss business of the House, caucus and committees",Hosting a town hall or community event,M0332691,DJ Matelot Max,30.00
2023/02/22,Cowansville,5,To plan Member's priorities and activities,Hosting a meeting,M0332704,Cyncuisine,79.72
2023/03/08,Cowansville,3,To attend staff events including training,Hosting a town hall or community event,M0332722,Horizon pour elle Inc.,60.00
2023/03/17,Cowansville,5,To plan Member's priorities and activities,Hosting a meeting,M0332738,St-Hubert,103.59
2023/03/25,Cowansville,3,To meet constituents,"Gala, reception or ceremony",M0335405,Fonds de soutien à la communauté,500.00
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,IGA,8.98
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,"Atelier Trema ",11.95
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335432,Walmart,28.66
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,l'Apothicaire,24.45
2023/03/30,Cowansville,5,To meet constituents,Hosting a meeting,M0335442,L'Atelier Virgin HIll,21.04
