Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Edmundston,0,To meet visitors of Member’s office,Hosting a meeting,M0326577,Canadian Tire,34.37
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0331796,Walmart,90.16
2022/04/01,Dalhousie,0,To meet visitors of Member’s office,Hosting a meeting,M0327199,Canadian Tire,67.74
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0328903,Hosp 23/02/02 RA,66.63
2022/07/05,Edmundston,3,To plan Member's priorities and activities,Hosting a staff event,M0327342,Café Flora,52.50
2022/07/05,Edmundston,3,To plan Member's priorities and activities,Hosting a staff event,M0328904,Pizza Delight Edmundston,90.00
2022/08/03,Edmundston,4,To plan Member's priorities and activities,Hosting a meeting,M0327342,Cafe Flora,64.00
2022/09/22,Edmundston,1,To meet constituents,"Gala, reception or ceremony",M0327342,Conseil économique du Nouveau-Brunswick inc.,10.00
2022/10/06,Edmundston,1,To meet constituents,Community activity or event,M0327342,Chambre de commerce de la région d'Edmundston,15.00
2022/12/01,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0331789,Frank's Bar & Grill,114.99
2022/12/01,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0328903,Resto Parlementaire,47.81
2022/12/01,Ottawa,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0331789,Osprey 4 Saisons,163.10
2022/12/07,Edmundston,1,To meet constituents,Community activity or event,M0333396,REFAM,25.00
2022/12/07,Lac Baker,1,To meet constituents,Community activity or event,M0333396,Chambre de commerce Haut-Madawaska,30.00
2022/12/14,Gatineau,3,To plan Member's priorities and activities,Hosting a meeting,M0331789,Boston Pizza,77.79
2022/12/14,Gatineau,3,To plan Member's priorities and activities,Hosting a meeting,M0327246,Osprey 4 Saisons,80.78
2023/02/19,Saint-François,4,To meet constituents,Community activity or event,M0333386,Musée salle du 150,100.00
2023/02/22,Edmundston,2,To meet constituents,Community activity or event,M0333386,Chambre de commerce Edmundston,69.57
2023/02/25,Edmundston,4,To meet constituents,"Gala, reception or ceremony",M0333386,Fondation St Louis Maillet,300.00
