Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Nanaimo,0,To meet visitors of Member’s office,Hosting a meeting,M0330127,Quality Foods,15.74
2022/04/01,Nanaimo,0,To meet visitors of Member’s office,Hosting a meeting,M0330322,Quality Foods,37.95
2022/04/01,Nanaimo,0,To meet visitors of Member’s office,Hosting a meeting,M0334173,Quality Foods,63.31
2022/07/22,Nanaimo,500,To meet constituents,Community activity or event,M0330127,Save-On-Foods,16.65
2022/11/08,Nanaimo,35,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330127,Quality Foods,20.84
2022/11/08,Nanaimo,35,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330127,Starbucks,37.90
2023/01/11,Nanaimo,7,To plan Member's priorities and activities,Hosting a staff event,M0326437,Coastal Culinary Creations,168.37
2023/02/14,Ottawa,250,To celebrate a significant event,Hosting a reception or open house,M0331988,DJ Matelot Max,32.99
2023/02/20,Nanaimo,500,To meet constituents,Hosting a town hall or community event,M0330318,Complete Vending Services dba West Coast Coffee,888.69
2023/02/20,Nanaimo,500,To meet constituents,Hosting a town hall or community event,M0330318,City of Nanaimo,700.00
2023/02/24,Nanaimo,1,To celebrate a significant event,"Gala, reception or ceremony",M0330663,NANAIMO SPORT ACHIEVEMENT AWARDS,140.00
2023/04/02,Nanaimo,50,To meet constituents,Hosting a town hall or community event,M0336265,Nanaimo Bakery,182.80
