Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Val Caron,0,To meet visitors of Member’s office,Hosting a meeting,M0324475,Metro,33.15
2022/04/01,Val Caron,0,To meet visitors of Member’s office,Hosting a meeting,M0327204,Valu Mart,11.99
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0328796,Provigo,20.14
2022/11/30,Val Caron,4,To plan Member's priorities and activities,Hosting a meeting,M0324489,First Round Sport Bar,102.89
2023/01/03,Sudbury,9,To plan Member's priorities and activities,Hosting a meeting,M0325555,Loft 88 Steakhouse and Bar,686.20
2023/01/05,Val Caron,0,To meet constituents,Hosting a meeting,M0326013,Metro,6.99
2023/01/24,Val Caron,5,To plan Member's priorities and activities,Hosting a meeting,M0328055,Metro,52.04
2023/02/23,Sturgeon Falls,2,To meet constituents,Hosting a meeting,M0331434,Twiggs Coffee Roaster,11.11
2023/03/14,Sturgeon Falls,3,To meet constituents,Hosting a town hall or community event,M0333492,RIV Chip Stand,37.75
2023/03/15,Val Caron,0,To meet constituents,Hosting a meeting,M0333492,Métro,29.98
2023/03/18,Ottawa,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0333492,Maxi,22.66
