Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0329184,Nespresso,91.00
2022/10/27,Ottawa,16,"To discuss business of the House, caucus and committees",Hosting a meeting,M0322666,Tim Hortons Store 3788,72.90
2022/11/19,Calgary,2000,To meet constituents,Hosting a town hall or community event,M0330308,Genesis Centre,250.00
2022/12/14,Ottawa,100,To celebrate a significant event,Hosting a reception or open house,M0326796,House of Commons Food Services — Services de restauration de la Chambre des communes,479.50
2022/12/17,Calgary,100,To meet constituents,Community activity or event,M0330814,Mark Langlois,250.00
2023/02/11,Calgary,125,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0330213,The Fairway Group Calgary Inc - Wingfield Golf,2500.00
