Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/12/14,Ottawa,4,To plan Member's priorities and activities,Hosting a staff event,M0324649,Baton Rouge,162.25
2023/01/30,Ottawa,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0329258,Baton Rouge Restaurant,187.75
2023/01/31,Ottawa,2,To plan Member's priorities and activities,Hosting a meeting,M0329258,Parliamentary Restaurant,81.50
2023/02/15,Ottawa,3,To plan Member's priorities and activities,Hosting a staff event,M0330077,Nates Deli,74.87
2023/03/02,Lincoln,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0331962,Blue Canoe Restaurant,89.35
2023/03/03,Woodstock,7,To exchange with dignitaries,Hosting a meeting,M0331962,Murray's Truck Stop,138.54
2023/03/15,Fredericton,3,To meet constituents,Hosting a meeting,M0333488,St. James' Gate West Hills,72.42
2023/03/17,Nackawic,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0333064,Robin's Nackawick,15.99
2023/03/28,Ottawa,2,To meet constituents,Hosting a meeting,M0335321,Parliamentary Restaurant,69.80
