Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Lachute,0,To meet visitors of Member’s office,Hosting a meeting,M0334807,Super C,8.58
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0332038,Food Service Parl,5.05
2022/04/01,Lachute,0,To meet visitors of Member’s office,Hosting a meeting,M0334807,Walmart,98.26
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0334942,Food Services,13.20
2022/04/01,Lachute,0,To meet visitors of Member’s office,Hosting a meeting,M0334831,Walmart,34.00
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0327651,"Food Service ",5.05
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0324213,FOOD SERVICE hoc,11.20
2022/04/01,Lachute,0,To meet visitors of Member’s office,Hosting a meeting,M0334831,Super C,21.68
2022/11/22,Buckingham,3,To meet constituents,Hosting a reception or open house,M0324213,Restaurant le Buckingham,65.18
2022/11/22,Buckingham,3,To meet constituents,Hosting a reception or open house,M0324239,service de restauration - Chambre des communes,10.10
2022/12/03,Argenteuil,75,To meet constituents,Community activity or event,M0327651,Table Concertation Argenteuil,70.00
2022/12/13,Lachute,4,"To discuss business of the House, caucus and committees",Hosting a staff event,M0324213,Le plateau du Carrefour,53.50
2022/12/14,Ottawa,7,To meet constituents,Hosting a meeting,M0324239,service de restauration - Chambre des Communes,74.00
2022/12/15,Papineauville,7,To celebrate a significant event,Hosting a staff event,M0324213,"Restaurant Louis Joseph ",672.99
2022/12/17,Buckingham,80,To meet constituents,Hosting a town hall or community event,M0324213,Pub Le Buckingham,360.00
2023/02/05,Papineauville,200,To meet constituents,Community activity or event,M0332029,Déjeuner du Maire,40.00
2023/03/03,Montebello,5,To plan Member's priorities and activities,Hosting a staff event,M0332038,Tim Papineauville,19.99
2023/03/03,Montebello,5,To plan Member's priorities and activities,Hosting a staff event,M0332029,"Fromagerie montebello ",92.03
2023/03/18,Plaisance,1,To meet constituents,"Gala, reception or ceremony",M0334831,Gala Pompier,60.00
2023/03/21,Buckingham,4,To meet constituents,Hosting a meeting,M0334942,Le Centenaire,35.05
2023/03/24,Saint-André,25,To meet constituents,Community activity or event,M0335717,Au vieux Chaudron,158.84
2023/03/25,Morin-Heights,0,To meet constituents,"Gala, reception or ceremony",M0334942,Anorak Broue Pub,51.90
2023/03/25,Buckingham,1,To meet constituents,Community activity or event,M0335932,TVC Basse-Lièvre,80.00
2023/03/25,Saint-André-Avellin,2,To meet constituents,Community activity or event,M0334831,APHP,180.00
