Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Caraquet,0,To meet visitors of Member’s office,Hosting a meeting,M0337169,NESPRESSO,217.50
2022/05/13,Caraquet,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,Mitchan Sushi,149.14
2022/05/18,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,3 Brewers Spark,84.72
2022/05/24,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,Bobby Comptoir Lunch,51.25
2022/05/30,Shippagan,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,Cactus Cafe,37.64
2022/06/03,Caraquet,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,Mitchan Sushi,124.54
2022/06/04,Bathurst,1,To celebrate a significant event,"Gala, reception or ceremony",M0328263,ROYAL CANADIAN LEGION NEW BRUNSWICK COMMAND,80.00
2022/06/05,Pokemouche,4,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0328263,Poissonnerie du Creek,111.56
2022/06/17,Bathurst,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,V13 Restobar,57.81
2022/06/17,Caraquet,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,Mitchan Sushi,145.94
2022/06/30,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328263,Bobby Comptoir Lunch,57.23
2022/07/01,Caraquet,11,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Bobby Comptoir Lunch,199.01
2022/07/06,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Pizza Delight,31.96
2022/07/07,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Bobby Comptoir Lunch,73.49
2022/07/13,Bathurst,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,St-Hubert Bathurst,47.17
2022/07/19,Caraquet,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Bobby Comptoir Lunch,86.90
2022/08/02,Caraquet,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Dixie Lee Caraquet,55.65
2022/08/05,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Bobby Comptoir Lunch,35.67
2022/08/05,Fredericton,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,11th mile,100.86
2022/08/10,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328282,Bobby Comptoir Lunch,47.79
2022/08/11,Bertrand,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,Gestion 1534,90.06
2022/08/11,Caraquet,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,Mitchan Sushi,208.49
2022/08/17,Bertrand,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,Gestion 1534 Inc,97.73
2022/08/19,Caraquet,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,Restaurant le Crapet,109.85
2022/08/25,Bathurst,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,St-Hubert Bathurst,32.50
2022/08/29,Paquetville,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,Crepe Bretonne,61.07
2022/08/30,Caraquet,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328300,Dixie Lee Caraquet,61.01
2022/09/06,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Pizza Delight Caraquet,34.35
2022/09/14,Caraquet,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Mitchan Sushi,89.79
2022/09/21,Tracadie,0,To meet constituents,Community activity or event,M0331160,Campagne Enfant Heureux,100.00
2022/09/29,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Bobby Comptoir Lunch,46.00
2022/10/05,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Parliamentary Restaurant,90.29
2022/10/20,Shippagan,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Le Sub Royal,19.50
2022/10/20,Bathurst,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Fresco,160.94
2022/10/28,Caraquet,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328410,Bobby Comptoir Lunch,42.87
2022/12/01,Bathurst,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0328497,McDonald's,24.52
2022/12/02,Caraquet,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0328497,Origines Cuisine Maritimes,553.50
