Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/11/07,Midland,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328106,Hospitality,70.05
2022/11/22,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a meeting,M0328106,L3B SPARKS,68.47
2022/11/28,Ottawa,4,To meet constituents,Hosting a meeting,M0328106,Food Services,159.38
2022/12/16,Orillia,2,To celebrate a significant event,Hosting a staff event,M0328896,Theos Eatery,48.49
2022/12/16,Orillia,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0328106,Hermie's Diner,41.52
2023/01/10,Orillia,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328107,Hospitality,54.56
2023/01/13,Orillia,300,To celebrate a significant event,"Gala, reception or ceremony",M0328895,Orillia Museum of Art & History,140.00
2023/02/13,Ottawa,5,To meet constituents,Hosting a meeting,M0332934,Parliamentary Restaurant,252.11
2023/02/23,Orillia,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0332934,Hermie's Diner,44.97
2023/03/13,Penetanguishene,3,To meet constituents,Hosting a meeting,M0332934,Mom's Restuarant,60.92
2023/03/13,Penetanguishene,3,To meet constituents,Hosting a meeting,M0332934,Captain Ken's Diner & Pub,45.02
2023/03/15,Midland,50,To meet constituents,Community activity or event,M0333114,Bayshore Lanes,371.52
2023/03/18,Orillia,100,To meet constituents,Hosting a town hall or community event,M0333503,City of Orillia,250.00
2023/03/20,Ottawa,3,To meet constituents,Hosting a meeting,M0332934,Parliamentary Restaurant,74.75
2023/03/21,Ottawa,25,"To discuss business of the House, caucus and committees",Hosting a meeting,M0336094,House of Commons Food Services — Services de restauration de la Chambre des communes,128.88
