Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/10/27,Prince Rupert,6,To plan Member's priorities and activities,Hosting a staff event,M0327790,Fukasaku of Prince Rupert,222.00
2022/11/10,Burns Lake,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0327790,Office Pub and Grill,43.00
2022/11/17,Ottawa,2,To meet visitors of Member’s office,Hosting a meeting,M0327790,Parliamentary Restaurant,45.00
2022/11/20,Ottawa,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0327790,Milestones,244.00
2022/11/25,Smithers,100,To celebrate a significant event,"Gala, reception or ceremony",M0327790,Smithers District Chamber of Commerce,80.59
2022/12/02,Prince Rupert,50,To meet constituents,Hosting a reception or open house,M0324854,Fresh Onion Cafe,689.65
2022/12/07,Ottawa,3,To meet visitors of Member’s office,Hosting a meeting,M0327790,Parliamentary Restaurant,102.00
2022/12/16,Terrace,30,To meet constituents,Hosting a reception or open house,M0327726,Tim Hortons,45.98
2022/12/16,Terrace,30,To meet constituents,Hosting a reception or open house,M0330633,Cafenara LTD,439.00
2022/12/16,Terrace,30,To meet constituents,Hosting a reception or open house,M0327726,Safeway,262.50
2022/12/19,Smithers,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0324855,Foodie Heaven,15.00
2022/12/22,Smithers,50,To meet constituents,Hosting a reception or open house,M0325946,Bulkley Valley Wholesale,228.83
2022/12/22,Smithers,50,To meet constituents,Hosting a reception or open house,M0325946,Shoppers Drug Mart,4.29
2022/12/22,Smithers,50,To meet constituents,Hosting a reception or open house,M0325946,Safeway,124.56
2022/12/28,Smithers,50,To meet constituents,Hosting a town hall or community event,M0325946,Tim Horton's,90.46
2022/12/30,Hazelton,50,To meet constituents,Hosting a town hall or community event,M0325946,Bulkley Valley Wholesale,23.44
2022/12/30,Hazelton,50,To meet constituents,Hosting a town hall or community event,M0325946,Tim Horton's,111.94
2023/01/05,Smithers,2,To meet constituents,Hosting a meeting,M0327790,Foodie Heaven,15.00
2023/02/07,Ottawa,7,To discuss constituency issues with stakeholders,Hosting a meeting,M0328388,The Keg Steakhouse,129.04
2023/02/10,Prince Rupert,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0328388,The Crest Hotel,150.53
2023/02/10,Prince Rupert,25,To celebrate a significant event,Hosting a town hall or community event,M0330633,Tim Hortons,69.96
2023/02/10,Prince Rupert,25,To celebrate a significant event,Hosting a town hall or community event,M0332828,Royal Canadian Legion Brach 27,150.00
2023/02/11,Prince Rupert,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0328388,The Crest Hotel,102.50
2023/02/18,Smithers,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0332846,Roadhouse Smithers,34.00
2023/03/03,Houston,6,To meet constituents,Hosting a town hall or community event,M0332846,Palisades Cafe,48.75
2023/03/21,Smithers,2,To meet constituents,Hosting a meeting,M0332846,"Two Sister's Cafe ",30.00
