Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0292680,Shoppers Drug Mart,3.29
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0292680,Independent,11.96
2020/04/01,Fort St. John,0,To meet visitors of Member’s office,Hosting a meeting,M0292680,Food Basics,61.02
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0292680,Circle K,3.79
2021/04/01,Fort St. John,0,To meet visitors of Member’s office,Hosting a meeting,M0291466,Peace Country DeLite,101.02
2021/10/01,Ottawa,50,"To discuss business of the House, caucus and committees",Hosting a meeting,M0298964,Shoppers Drug Mart,13.27
2021/12/09,Ottawa,4,To celebrate a significant event,Hosting a staff event,M0287505,VIP Karaoke Bar,223.00
2021/12/09,Ottawa,4,To plan Member's priorities and activities,Hosting a staff event,M0287010,Baton Rouge,239.30
2021/12/09,Ottawa,3,"To discuss business of the House, caucus and committees",Hosting a meeting,M0288374,Parliamentary Restaurant,49.04
2021/12/21,Dawson Creek,1,To meet constituents,Hosting a meeting,M0288437,Browns Social House,22.88
