Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/09/21,Peterborough,0,To meet visitors of Member’s office,Hosting a meeting,M0296447,Costco,10.99
2021/12/22,Peterborough,7,To attend staff events including training,Hosting a staff event,M0288407,One Eighty Hunter,81.00
2022/01/14,Peterborough,5,"To discuss business of the House, caucus and committees",Hosting a meeting,M0290066,Dr. J's BBQ and Brews,81.81
2022/02/25,Peterborough,5,To attend staff events including training,Hosting a staff event,M0297604,Cora Peterborough,78.59
