Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/12/10,Ottawa,6,To attend staff events including training,Hosting a staff event,M0256901,"Vert Fourchette ",128.75
2021/03/03,Langley,2,To meet constituents,Meal at a community activity or event,M0262250,"Tacoholic Mexican Taco Shop ",13.20
2021/03/03,Langley,2,To meet constituents,Meal at a community activity or event,M0266096,Lelem,17.36
2021/03/04,Langley,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0262250,"Nespresso ",93.35
2021/03/04,Langley,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0264520,"London Drugs ",42.26
2021/03/27,Langley (city),35,To meet constituents,Hosting a reception or open house,M0264520,TracyCakes Bakery Cafe LTD,108.00
