Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2020/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0253918,Loblaws,8.99
2020/04/01,Sherwood Park,0,To meet visitors of Member’s office,Hosting a meeting,M0253809,Loblaws,11.99
2020/07/06,Fort Saskatchewan,2,To plan Member's priorities and activities,Hosting a staff event,M0252492,The Club House Restaurant,52.62
2020/07/29,Sherwood Park,4,To plan Member's priorities and activities,Hosting a staff event,M0252492,Pasta Pantry,91.99
2020/09/17,Sherwood Park,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0253087,"Headquarters ",41.91
2020/09/29,Ottawa,1,To attend staff events including training,Hosting a meeting,M0253810,Via Bella Market and Deli,8.49
2020/09/30,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0250676,"The 3 Brewers ",38.70
2020/10/07,Ottawa,1,To attend staff events including training,Hosting a meeting,M0253943,Vie Bella Market,8.48
2020/11/04,Ottawa,1,To attend staff events including training,Hosting a meeting,M0253936,Vie Bella Market,8.48
2020/11/04,Ottawa,1,To attend staff events including training,Hosting a meeting,M0253936,The Cupcake Lounge,23.70
2020/11/11,Sherwood Park,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0253087,Headquarters,26.28
2020/11/13,Sherwood Park,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0253087,Headquarters,36.59
