Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/02/13,Richmond,30,To celebrate a significant event,Hosting a town hall or community event,M0273698,"Ching, Clara YL",1500.00
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0273730,save-on-foods,20.46
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0274518,Save-on-Foods,10.42
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0273730,Intelligent Blends LP,39.48
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0277225,Costco Wholesale,17.49
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0278032,Save-On-Foods,3.44
2021/04/01,Richmond,0,To meet visitors of Member’s office,Hosting a meeting,M0277225,Save-On-Foods,9.89
2021/06/26,Richmond,12,To meet constituents,Hosting a town hall or community event,M0274518,Freshslice Pizza,69.99
2021/07/09,Richmond,5,To meet constituents,Meal at a community activity or event,M0275999,Richmond Chamber of Commerce,350.00
2021/07/25,Richmond,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0276848,Continental Seafood Restaurant,154.75
2021/07/30,Richmond,12,To plan Member's priorities and activities,Hosting a meeting,M0277225,Save-On-Foods,23.98
2021/07/30,Richmond,12,To plan Member's priorities and activities,Hosting a meeting,M0277225,Freshslice Pizza,76.78
