Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/05/20,Hopedale,15,To meet constituents,Hosting a reception or open house,M0274037,martha abel,50.00
2021/05/28,Goose Bay,50,To meet constituents,Hosting a reception or open house,M0274037,Leanna Rice,50.00
2021/06/29,Goose Bay,3,To meet constituents,Hosting a meeting,M0274037,Mariner's Galley,65.35
2021/07/19,Goose Bay,13,To discuss constituency issues with stakeholders,Hosting a meeting,M0274037,Mary Brown's,93.98
2021/07/20,Labrador City,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0274037,Sushi Lab,100.00
2021/08/02,Mary's Harbour,45,To meet constituents,Hosting a reception or open house,M0277445,Great Caribou Studio,397.00
