Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/10/24,Ottawa,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0324054,Parliamentary Restaurant,73.75
2022/11/07,Ottawa,65,To attend staff events including training,Hosting a staff event,M0324054,Walmart,114.38
2022/11/07,Ottawa,65,To attend staff events including training,Hosting a staff event,M0324054,Tim Hortons,127.93
2022/11/13,Cornwall,350,To celebrate a significant event,Hosting a town hall or community event,M0321026,Spinners Diner,130.00
2022/11/13,Cornwall,350,To celebrate a significant event,Hosting a town hall or community event,M0321026,Tim Hortons,19.58
2022/11/13,Cornwall,350,To celebrate a significant event,Hosting a town hall or community event,M0321026,No Frills,8.76
2022/11/13,Cornwall,350,To celebrate a significant event,Hosting a town hall or community event,M0321026,Dollarama,25.83
2022/11/13,Cornwall,350,To celebrate a significant event,Hosting a town hall or community event,M0321026,Paroisse Nativité - Hall rental,200.00
2022/11/13,Cornwall,350,To celebrate a significant event,Hosting a town hall or community event,M0321026,Swiss Farmer Bakery,150.00
2022/11/14,Ottawa,50,To attend staff events including training,Hosting a staff event,M0322225,House of Commons Food Services — Services de restauration de la Chambre des communes,238.95
2022/11/17,Ottawa,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0323537,House of Commons Food Services — Services de restauration de la Chambre des communes,115.90
2022/11/22,Cornwall,15,To discuss constituency issues with stakeholders,Hosting a meeting,M0323538,House of Commons Food Services — Services de restauration de la Chambre des communes,117.95
2022/12/09,Cornwall,6,To plan Member's priorities and activities,Hosting a meeting,M0324029,Sunshine Chinese Food,79.95
2022/12/09,Cornwall,6,To plan Member's priorities and activities,Hosting a meeting,M0324029,Tim Hortons,19.41
2022/12/16,Cornwall,300,To meet constituents,Hosting a reception or open house,M0324029,Wholesale Club,127.91
2022/12/16,Cornwall,300,To meet constituents,Hosting a reception or open house,M0324054,Farm Boy,22.96
