Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/09/29,New Glasgow,50,To meet constituents,Community activity or event,M0316118,Tim Hortons,91.44
2022/09/29,New Glasgow,50,To meet constituents,Community activity or event,M0316109,Tim Hortons,38.52
2022/09/29,New Glasgow,50,To meet constituents,Community activity or event,M0316120,Tim Hortons,48.77
2022/11/03,Ottawa,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0319489,Marriott Ottawa,114.02
2022/11/18,Antigonish,3,To attend staff events including training,Hosting a staff event,M0320812,Main Street Cafe,86.94
2022/12/10,Thorburn,35,To meet constituents,Hosting a town hall or community event,M0323327,Crossroads Country Market,65.90
2022/12/10,Thorburn,35,To meet constituents,Hosting a town hall or community event,M0323328,Tim Hortons,95.95
2022/12/13,Ottawa,15,To plan Member's priorities and activities,Hosting a staff event,M0324216,Dominos,107.29
2022/12/14,Ottawa,12,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0324233,LCBO,69.00
2022/12/14,Ottawa,12,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0324233,Loblaws,116.30
