Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/06/12,Kamloops,150,To celebrate a significant event,Hosting a town hall or community event,M0314998,TRU Ancillary Services,583.83
2022/11/09,Kamloops,0,To celebrate a significant event,"Gala, reception or ceremony",M0320440,Tourism Kamloops,35.00
2022/11/10,Kamloops,1,To celebrate a significant event,"Gala, reception or ceremony",M0320440,City of Kamloops,100.00
