Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/07/09,Essex,500,To celebrate a significant event,Community activity or event,M0317449,Dollar Tree,15.00
2022/07/16,Lakeshore,500,To celebrate a significant event,Community activity or event,M0317449,Dollarama,5.75
2022/07/16,Lakeshore,500,To celebrate a significant event,Community activity or event,M0317449,Dollar Tree,12.00
2022/07/16,Lakeshore,500,To celebrate a significant event,Community activity or event,M0322324,Sunsplash,36.00
2022/08/16,Ottawa,7,To meet visitors of Member’s office,Hosting a meeting,M0317449,Madisons New York Grill & Bar,387.00
2022/09/03,Harrow,500,To meet constituents,Community activity or event,M0317449,Dollarama,31.08
2022/09/06,Kingsville,60,To celebrate a significant event,"Gala, reception or ceremony",M0318084,"Blumz Floral Boutique ",25.00
2022/09/24,Windsor,1,To meet constituents,"Gala, reception or ceremony",M0317426,UHC Hub of Opportunites,240.00
2022/11/02,Ottawa,15,"To discuss business of the House, caucus and committees",Hosting a meeting,M0321905,House of Commons Food Services — Services de restauration de la Chambre des communes,239.25
2022/11/19,Kingsville,500,To meet constituents,Community activity or event,M0322324,Dollorama,96.14
2022/11/19,Kingsville,500,To meet constituents,Community activity or event,M0322324,Canadian Tire,63.97
