Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0318607,IGA,9.38
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0315745,IGA Grand-Mère,28.94
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0319440,IGA Grand-Mère,13.47
2022/04/01,La Tuque,0,To meet visitors of Member’s office,Hosting a meeting,M0319435,Dep. Odette Filion,14.65
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0315745,Maxi Richmond,27.98
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0318607,Maxi Shawinigan,38.76
2022/04/01,La Tuque,0,To meet visitors of Member’s office,Hosting a meeting,M0319435,IGA La Tuque,36.78
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0323559,IGA Grand-Mère,25.59
2022/04/01,Shawinigan,0,To meet visitors of Member’s office,Hosting a meeting,M0320871,Maxi Richmond,14.99
2022/08/13,Shawinigan,1,To meet constituents,Community activity or event,M0315745,Rendez-vous des peintres,120.00
2022/10/17,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a meeting,M0318607,Dominos Pizza LLC,152.88
2022/10/17,Ottawa,30,"To discuss business of the House, caucus and committees",Hosting a meeting,M0318607,Quick Pick,50.91
2022/10/27,Shawinigan,0,To meet constituents,"Gala, reception or ceremony",M0319440,Fondation Cégep Shawinigan,100.99
