Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"Barrett, Michael",Leeds—Grenville—Thousand Islands and Rideau Lakes,Conservative,78880.73,5754.73,9.98,27450.02,2021,2
"Barsalou-Duval, Xavier",Pierre-Boucher—Les Patriotes—Verchères,Bloc Québécois,56616.14,10010.18,24.3,27152.59,2021,2
"Battiste, Jaime",Sydney—Victoria,Liberal,64147.93,5490.74,239.09,16424.44,2021,2
"Beaulieu, Mario",La Pointe-de-l'Île,Bloc Québécois,45918.41,9301.84,469.39,47355.19,2021,2
"Beech, Terry",Burnaby North—Seymour,Liberal,65739.03,6901.53,210.56,29404.54,2021,2
"Bendayan, Rachel",Outremont,Liberal,52725.88,7872.08,0.0,23509.46,2021,2
"Bennett, Hon. Carolyn",Toronto—St. Paul's,Liberal,60978.8,1500.0,0.0,31429.63,2021,2
"Benzen, Bob",Calgary Heritage,Conservative,67402.58,2206.45,174.73,21698.12,2021,2
"Bergen, Hon. Candice",Portage—Lisgar,Conservative,68769.0,26404.21,140.65,28158.61,2021,2
"Bergeron, Stéphane",Montarville,Bloc Québécois,69844.94,8768.38,487.56,35821.15,2021,2
"Berthold, Luc",Mégantic—L'Érable,Conservative,62309.32,11743.29,24.18,31138.67,2021,2
"Bérubé, Sylvie",Abitibi—Baie-James—Nunavik—Eeyou,Bloc Québécois,53639.48,17936.84,339.93,40837.04,2021,2
"Bessette, Lyne",Brome—Missisquoi,Liberal,65246.63,3347.85,66.16,27645.12,2021,2
"Bezan, James",Selkirk—Interlake—Eastman,Conservative,87186.13,11978.75,84.65,25677.27,2021,2
"Bibeau, Hon. Marie-Claude",Compton—Stanstead,Liberal,78679.34,10776.8,116.35,24995.68,2021,2
"Bittle, Chris",St. Catharines,Liberal,86874.05,7149.93,0.0,13960.22,2021,2
"Blaikie, Daniel",Elmwood—Transcona,New Democratic Party,61177.48,6486.59,0.0,17076.21,2021,2
"Blair, Hon. Bill",Scarborough Southwest,Liberal,67407.69,9261.34,0.0,15449.46,2021,2
"Blanchet, Yves-François",Beloeil—Chambly,Bloc Québécois,68714.4,20698.8,341.57,30215.85,2021,2
"Blanchette-Joncas, Maxime",Rimouski-Neigette—Témiscouata—Les Basques,Bloc Québécois,55919.5,15081.65,611.23,24074.46,2021,2
"Blaney, Rachel",North Island—Powell River,New Democratic Party,91017.18,17049.24,344.44,40251.12,2021,2
"Blaney, Hon. Steven",Bellechasse—Les Etchemins—Lévis,Conservative,80437.06,6809.35,347.82,42107.12,2021,2
"Block, Kelly",Carlton Trail—Eagle Creek,Conservative,72657.88,14343.8,0.0,27550.06,2021,2
"Blois, Kody",Kings—Hants,Liberal,48296.92,3498.67,146.19,13875.29,2021,2
"Boudrias, Michel",Terrebonne,Bloc Québécois,81597.77,4596.73,81.13,20451.82,2021,2
"Boulerice, Alexandre",Rosemont—La Petite-Patrie,New Democratic Party,68977.93,4885.22,245.0,24911.13,2021,2
"Bragdon, Richard",Tobique—Mactaquac,Conservative,74569.04,8680.21,0.0,22215.02,2021,2
"Brassard, John",Barrie—Innisfil,Conservative,65108.69,6297.51,0.0,35266.79,2021,2
"Bratina, Bob",Hamilton East—Stoney Creek,Liberal,75549.61,5806.42,0.0,15821.03,2021,2
"Brière, Élisabeth",Sherbrooke,Liberal,73897.36,6866.89,36.97,14153.52,2021,2
"Brunelle-Duceppe, Alexis",Lac-Saint-Jean,Bloc Québécois,83277.99,13104.23,355.08,14893.16,2021,2
"Caesar-Chavannes, Celina",Whitby,Independent,0.0,0.0,0.0,2094.08,2021,2
"Calkins, Blaine",Red Deer—Lacombe,Conservative,75236.6,15032.88,729.1,22022.64,2021,2
"Cannings, Richard",South Okanagan—West Kootenay,New Democratic Party,78918.0,8732.09,0.0,19958.34,2021,2
