Name,Constituency,Caucus,Salaries,Travel,Hospitality,Contracts,Year,Quarter
"Dabrusin, Julie",Toronto—Danforth,Liberal,52158.74,0.0,0.0,15772.99,2022,1
"Dalton, Marc",Pitt Meadows—Maple Ridge,Conservative,48369.7,16316.5,216.44,26035.47,2022,1
"Damoff, Pam",Oakville North—Burlington,Liberal,59710.2,9525.63,0.0,13848.54,2022,1
"Dancho, Raquel",Kildonan—St. Paul,Conservative,48506.49,5821.19,97.09,26089.51,2022,1
"Davidson, Scot",York—Simcoe,Conservative,47613.5,10091.79,29.99,18006.36,2022,1
"Davies, Don",Vancouver Kingsway,New Democratic Party,47272.65,7540.11,61.35,28010.09,2022,1
"DeBellefeuille, Claude",Salaberry—Suroît,Bloc Québécois,47885.8,9446.46,84.5,27028.8,2022,1
"Deltell, Gérard",Louis-Saint-Laurent,Conservative,58762.7,12574.79,0.0,21901.05,2022,1
"d'Entremont, Chris",West Nova,Conservative,52120.8,8120.0,0.0,25851.11,2022,1
"Desbiens, Caroline",Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Bloc Québécois,48220.85,14199.02,725.63,30059.06,2022,1
"Desilets, Luc",Rivière-des-Mille-Îles,Bloc Québécois,48377.8,10157.03,247.99,35245.4,2022,1
"Dhaliwal, Sukh",Surrey—Newton,Liberal,38525.72,8986.89,62.38,29316.31,2022,1
"Dhillon, Anju",Dorval—Lachine—LaSalle,Liberal,49927.6,8821.7,0.0,19029.17,2022,1
"Diotte, Kerry",Edmonton Griesbach,Conservative,40202.15,13978.41,0.0,13803.24,2022,1
"Doherty, Todd",Cariboo—Prince George,Conservative,60899.65,16222.28,333.02,6564.57,2022,1
"Dong, Han",Don Valley North,Liberal,57001.4,7100.0,0.0,22608.16,2022,1
"Dowdall, Terry",Simcoe—Grey,Conservative,45614.8,7838.23,0.0,25022.14,2022,1
"Dreeshen, Earl",Red Deer—Mountain View,Conservative,59556.8,12306.25,162.1,15555.18,2022,1
"Drouin, Francis",Glengarry—Prescott—Russell,Liberal,48473.17,658.31,0.0,16591.27,2022,1
"Dubourg, Emmanuel",Bourassa,Liberal,51942.68,3106.48,1440.0,27776.47,2022,1
"Duclos, Hon. Jean-Yves",Québec,Liberal,52452.58,7005.96,0.0,29856.93,2022,1
"Duguid, Terry",Winnipeg South,Liberal,51188.6,2334.4,0.0,18041.72,2022,1
"Duncan, Eric",Stormont—Dundas—South Glengarry,Conservative,59258.04,6633.92,290.12,19300.19,2022,1
"Duncan, Hon. Kirsty",Etobicoke North,Liberal,65556.5,0.0,0.0,12178.26,2022,1
"Duvall, Scott",Hamilton Mountain,New Democratic Party,25924.85,12277.12,0.0,43758.93,2022,1
"Dzerowicz, Julie",Davenport,Liberal,47288.35,0.0,0.0,22548.61,2022,1
"Easter, Hon. Wayne",Malpeque,Liberal,63493.58,0.0,0.0,11284.3,2022,1
"Ehsassi, Ali",Willowdale,Liberal,49522.29,0.0,0.0,20150.25,2022,1
"El-Khoury, Fayçal",Laval—Les Îles,Liberal,44971.35,8773.14,0.0,22038.27,2022,1
"Ellis, Neil",Bay of Quinte,Liberal,43380.13,7924.59,0.0,14052.96,2022,1
"Epp, Dave",Chatham-Kent—Leamington,Conservative,44676.68,15810.49,0.0,23354.96,2022,1
"Erskine-Smith, Nathaniel",Beaches—East York,Liberal,45873.5,1500.0,0.0,13941.56,2022,1
"Falk, Rosemarie",Battlefords—Lloydminster,Conservative,49200.2,12020.23,125.71,16191.74,2022,1
"Falk, Ted",Provencher,Conservative,48282.26,17531.39,217.07,24016.28,2022,1
"Fast, Hon. Ed",Abbotsford,Conservative,55766.78,12974.27,162.95,27527.82,2022,1
"Fergus, Greg",Hull—Aylmer,Liberal,52773.25,0.0,226.0,31494.71,2022,1
"Fillmore, Andy",Halifax,Liberal,36553.24,6440.53,22.42,12942.38,2022,1
"Findlay, Hon. Kerry-Lynne",South Surrey—White Rock,Conservative,53209.73,14818.24,25.18,25453.44,2022,1
"Finley, Hon. Diane",Haldimand—Norfolk,Conservative,21148.78,0.0,0.0,6727.29,2022,1
"Finnigan, Pat",Miramichi—Grand Lake,Liberal,46202.5,7223.16,0.0,18114.07,2022,1
"Fisher, Darren",Dartmouth—Cole Harbour,Liberal,40235.4,7000.0,0.0,15553.06,2022,1
"Fonseca, Peter",Mississauga East—Cooksville,Liberal,34053.5,0.0,0.0,17521.46,2022,1
"Fortier, Hon. Mona",Ottawa—Vanier,Liberal,52890.35,0.0,0.0,29454.84,2022,1
"Fortin, Rhéal",Rivière-du-Nord,Bloc Québécois,33064.38,8953.49,192.37,22599.72,2022,1
"Fragiskatos, Peter",London North Centre,Liberal,43142.45,0.0,0.0,46543.01,2022,1
"Fraser, Sean",Central Nova,Liberal,59739.9,0.0,0.0,16746.94,2022,1
"Freeland, Hon. Chrystia",University—Rosedale,Liberal,44008.86,0.0,0.0,17934.73,2022,1
"Fry, Hon. Hedy",Vancouver Centre,Liberal,46495.61,6043.41,0.0,27944.28,2022,1
"Gallant, Cheryl",Renfrew—Nipissing—Pembroke,Conservative,57649.15,9523.93,34.58,29125.26,2022,1
"Garneau, Hon. Marc",Notre-Dame-de-Grâce—Westmount,Liberal,38153.62,0.0,0.0,17806.52,2022,1
"Garrison, Randall",Esquimalt—Saanich—Sooke,New Democratic Party,57785.2,6028.0,0.0,28767.93,2022,1
"Gaudreau, Marie-Hélène",Laurentides—Labelle,Bloc Québécois,52380.1,5819.59,0.0,23058.99,2022,1
"Gazan, Leah",Winnipeg Centre,New Democratic Party,54994.88,6400.0,125.0,22727.82,2022,1
"Généreux, Bernard",Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,Conservative,46964.19,7024.4,111.88,20178.66,2022,1
"Genuis, Garnett",Sherwood Park—Fort Saskatchewan,Conservative,68192.83,8733.5,0.0,16564.46,2022,1
"Gerretsen, Mark",Kingston and the Islands,Liberal,57209.29,12288.64,0.0,22668.18,2022,1
"Gill, Marilène",Manicouagan,Bloc Québécois,45925.36,22110.22,217.98,42509.46,2022,1
"Gladu, Marilyn",Sarnia—Lambton,Conservative,58913.27,8822.7,0.0,23474.95,2022,1
"Godin, Joël",Portneuf—Jacques-Cartier,Conservative,53427.77,4829.63,132.07,22357.1,2022,1
"Gould, Hon. Karina",Burlington,Liberal,51384.57,0.0,0.0,17763.78,2022,1
"Gourde, Jacques",Lévis—Lotbinière,Conservative,38206.95,10243.24,346.9,37710.07,2022,1
"Gray, Tracy",Kelowna—Lake Country,Conservative,56090.57,12327.35,0.0,25409.16,2022,1
"Green, Matthew",Hamilton Centre,New Democratic Party,60841.14,7349.83,231.39,17133.59,2022,1
"Guilbeault, Hon. Steven",Laurier—Sainte-Marie,Liberal,51074.11,6800.0,0.0,12562.71,2022,1
"Hajdu, Hon. Patty",Thunder Bay—Superior North,Liberal,61837.45,8000.0,0.0,21859.45,2022,1
"Hallan, Jasraj Singh",Calgary Forest Lawn,Conservative,58067.57,8383.21,95.95,16007.64,2022,1
"Harder, Rachael",Lethbridge,Conservative,60009.45,10877.89,37.95,17165.87,2022,1
"Hardie, Ken",Fleetwood—Port Kells,Liberal,56308.7,9104.09,0.0,17880.39,2022,1
"Harris, Jack",St. John's East,New Democratic Party,50515.7,0.0,0.0,16516.55,2022,1
"Hoback, Randy",Prince Albert,Conservative,55679.97,5935.45,0.0,12815.63,2022,1
"Holland, Hon. Mark",Ajax,Liberal,65876.77,4541.92,0.0,17801.2,2022,1
"Housefather, Anthony",Mount Royal,Liberal,51284.4,0.0,34.36,16129.2,2022,1
"Hughes, Carol",Algoma—Manitoulin—Kapuskasing,New Democratic Party,61758.62,13824.03,0.0,21892.44,2022,1
"Hussen, Hon. Ahmed",York South—Weston,Liberal,58298.31,7480.0,0.0,13500.03,2022,1
"Hutchings, Gudie",Long Range Mountains,Liberal,54799.49,7266.72,0.0,17909.59,2022,1
"Iacono, Angelo",Alfred-Pellan,Liberal,50002.14,0.0,155.93,35067.62,2022,1
"Ien, Marci",Toronto Centre,Liberal,63379.05,0.0,0.0,20582.85,2022,1
"Jaczek, Helena",Markham—Stouffville,Liberal,58210.44,5550.0,0.0,26517.36,2022,1
"Jansen, Tamara",Cloverdale—Langley City,Conservative,46703.1,10400.0,0.0,20446.29,2022,1
"Jeneroux, Matt",Edmonton Riverbend,Conservative,45998.15,13311.08,43.99,32737.84,2022,1
"Johns, Gord",Courtenay—Alberni,New Democratic Party,54127.61,3249.98,319.0,29121.23,2022,1
"Joly, Hon. Mélanie",Ahuntsic-Cartierville,Liberal,51939.65,6600.0,0.0,27319.63,2022,1
"Jones, Yvonne",Labrador,Liberal,60543.86,20745.82,1405.21,23346.31,2022,1
"Jordan, Hon. Bernadette",South Shore—St. Margarets,Liberal,56874.75,7935.81,0.0,11312.27,2022,1
"Jowhari, Majid",Richmond Hill,Liberal,59960.75,0.0,18.99,21624.47,2022,1
"Julian, Peter",New Westminster—Burnaby,New Democratic Party,59691.74,6940.0,0.0,28591.92,2022,1
"Kelloway, Mike",Cape Breton—Canso,Liberal,59222.69,458.27,36.79,12583.67,2022,1
"Kelly, Pat",Calgary Rocky Ridge,Conservative,47015.4,8258.46,0.0,10847.18,2022,1
"Kent, Hon. Peter",Thornhill,Conservative,60372.65,2081.9,0.0,21525.48,2022,1
"Khalid, Iqra",Mississauga—Erin Mills,Liberal,50397.15,7200.0,0.0,16609.9,2022,1
"Khera, Kamal",Brampton West,Liberal,48384.15,8257.58,0.0,18991.97,2022,1
"Kitchen, Robert",Souris—Moose Mountain,Conservative,45548.15,16511.78,0.0,25203.72,2022,1
"Kmiec, Tom",Calgary Shepard,Conservative,44953.34,9684.91,0.0,25148.38,2022,1
"Koutrakis, Annie",Vimy,Liberal,59599.15,9554.66,0.0,23679.82,2022,1
"Kram, Michael",Regina—Wascana,Conservative,45561.7,10013.36,0.0,23667.77,2022,1
"Kurek, Damien",Battle River—Crowfoot,Conservative,49185.64,9841.91,77.77,15823.31,2022,1
"Kusie, Stephanie",Calgary Midnapore,Conservative,56700.04,7340.41,290.79,22297.73,2022,1
"Kusmierczyk, Irek",Windsor—Tecumseh,Liberal,58215.91,8760.0,0.0,7855.89,2022,1
"Kwan, Jenny",Vancouver East,New Democratic Party,53733.95,3387.26,0.0,25835.38,2022,1
"Lake, Hon. Mike",Edmonton—Wetaskiwin,Conservative,74983.43,7379.82,0.0,15099.08,2022,1
"Lalonde, Marie-France",Orléans,Liberal,55406.53,0.0,76.98,18301.57,2022,1
"Lambropoulos, Emmanuella",Saint-Laurent,Liberal,47491.86,8876.66,0.0,37054.6,2022,1
"Lametti, Hon. David",LaSalle—Émard—Verdun,Liberal,50401.49,11485.42,0.0,14247.87,2022,1
"Lamoureux, Kevin",Winnipeg North,Liberal,48099.05,7247.99,0.0,18360.3,2022,1
"Larouche, Andréanne",Shefford,Bloc Québécois,47914.8,4630.79,81.0,32034.95,2022,1
"Lattanzio, Patricia",Saint-Léonard—Saint-Michel,Liberal,35622.78,0.0,35.5,24977.91,2022,1
"Lauzon, Stéphane",Argenteuil—La Petite-Nation,Liberal,53374.5,0.0,0.0,14431.13,2022,1
"Lawrence, Philip",Northumberland—Peterborough South,Conservative,62559.3,9417.82,0.0,21888.94,2022,1
"LeBlanc, Hon. Dominic",Beauséjour,Liberal,59455.0,2013.23,1719.06,17223.57,2022,1
"Lebouthillier, Hon. Diane",Gaspésie—Les Îles-de-la-Madeleine,Liberal,39263.65,9855.14,0.0,20341.28,2022,1
"Lefebvre, Paul",Sudbury,Liberal,44668.07,3738.24,0.0,22851.04,2022,1
"Lehoux, Richard",Beauce,Conservative,46381.45,11078.06,720.0,18980.44,2022,1
"Lemire, Sébastien",Abitibi—Témiscamingue,Bloc Québécois,51134.65,3414.57,14.29,17886.94,2022,1
"Lewis, Chris",Essex,Conservative,45870.45,13476.85,46.99,24412.99,2022,1
"Liepert, Ron",Calgary Signal Hill,Conservative,48513.95,10202.93,0.0,20840.59,2022,1
"Lightbound, Joël",Louis-Hébert,Liberal,56206.65,5996.0,0.0,19910.9,2022,1
"Lloyd, Dane",Sturgeon River—Parkland,Conservative,51315.05,6651.19,0.0,18423.28,2022,1
"Lobb, Ben",Huron—Bruce,Conservative,50789.6,7553.22,0.0,23385.81,2022,1
"Long, Wayne",Saint John—Rothesay,Liberal,32102.9,0.0,47.43,31551.07,2022,1
"Longfield, Lloyd",Guelph,Liberal,53377.06,0.0,45.0,27574.47,2022,1
"Louis, Tim",Kitchener—Conestoga,Liberal,54105.35,2068.8,74.19,18406.76,2022,1
"Lukiwski, Tom",Moose Jaw—Lake Centre—Lanigan,Conservative,48530.28,22196.01,0.0,44323.32,2022,1
"MacAulay, Hon. Lawrence",Cardigan,Liberal,39000.55,3050.0,0.0,18047.58,2022,1
"MacGregor, Alistair",Cowichan—Malahat—Langford,New Democratic Party,55570.1,7197.63,0.0,25868.65,2022,1
"MacKenzie, Dave",Oxford,Conservative,45754.54,0.0,0.0,18522.86,2022,1
"MacKinnon, Steven",Gatineau,Liberal,41941.52,0.0,405.0,25490.72,2022,1
"Maguire, Larry",Brandon—Souris,Conservative,47659.83,11363.12,142.48,13417.21,2022,1
"Maloney, James",Etobicoke—Lakeshore,Liberal,48423.3,0.0,0.0,24978.43,2022,1
"Manly, Paul",Nanaimo—Ladysmith,Green Party,55358.25,6600.0,0.0,22202.02,2022,1
"Marcil, Simon",Mirabel,Bloc Québécois,49097.63,5828.17,0.0,15779.61,2022,1
"Martel, Richard",Chicoutimi—Le Fjord,Conservative,53810.3,1662.57,776.01,18311.84,2022,1
"Martinez Ferrada, Soraya",Hochelaga,Liberal,50156.86,8841.99,0.0,22081.08,2022,1
"Masse, Brian",Windsor West,New Democratic Party,63142.73,10143.84,0.0,10185.53,2022,1
"Mathyssen, Lindsay",London—Fanshawe,New Democratic Party,52696.03,8285.31,550.0,17446.68,2022,1
"May, Bryan",Cambridge,Liberal,60597.06,0.0,0.0,16599.49,2022,1
"May, Elizabeth",Saanich—Gulf Islands,Green Party,59866.55,5032.32,0.0,12709.36,2022,1
"Mazier, Dan",Dauphin—Swan River—Neepawa,Conservative,60037.5,9875.59,0.0,19836.06,2022,1
"McCauley, Kelly",Edmonton West,Conservative,37781.86,27377.72,257.9,19538.98,2022,1
"McColeman, Phil",Brantford—Brant,Conservative,47559.58,6619.21,0.0,13738.07,2022,1
"McCrimmon, Karen",Kanata—Carleton,Liberal,54131.26,0.0,0.0,21560.73,2022,1
"McDonald, Ken",Avalon,Liberal,52798.1,7697.86,168.73,16238.21,2022,1
"McGuinty, Hon. David",Ottawa South,Liberal,46602.98,0.0,0.0,17666.37,2022,1
"McKay, Hon. John",Scarborough—Guildwood,Liberal,45306.34,3050.0,0.0,21621.97,2022,1
"McKenna, Hon. Catherine",Ottawa Centre,Liberal,49282.32,212.81,0.0,22103.26,2022,1
"McKinnon, Ron",Coquitlam—Port Coquitlam,Liberal,52169.15,0.0,0.0,22943.3,2022,1
"McLean, Greg",Calgary Centre,Conservative,57744.07,12550.89,199.48,17187.23,2022,1
"McLeod, Cathy",Kamloops—Thompson—Cariboo,Conservative,47832.21,14323.19,0.0,16148.57,2022,1
"McLeod, Michael",Northwest Territories,Liberal,52296.6,9239.59,55.34,12392.69,2022,1
"McPherson, Heather",Edmonton Strathcona,New Democratic Party,55152.93,10440.04,50.0,23636.27,2022,1
"Melillo, Eric",Kenora,Conservative,61371.5,8689.65,0.0,27843.22,2022,1
"Mendès, Alexandra",Brossard—Saint-Lambert,Liberal,32347.63,5060.0,0.0,29615.13,2022,1
"Mendicino, Hon. Marco",Eglinton—Lawrence,Liberal,29590.72,0.0,0.0,16285.18,2022,1
"Michaud, Kristina",Avignon—La Mitis—Matane—Matapédia,Bloc Québécois,49831.35,18828.78,106.33,21602.68,2022,1
"Miller, Hon. Marc",Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,Liberal,56401.43,0.0,0.0,14145.58,2022,1
"Monsef, Hon. Maryam",Peterborough—Kawartha,Liberal,59709.33,6780.0,0.0,20423.07,2022,1
"Moore, Hon. Rob",Fundy Royal,Conservative,56895.93,772.57,1.9,16926.94,2022,1
"Morantz, Marty",Charleswood—St. James—Assiniboia—Headingley,Conservative,51268.85,0.0,0.0,14941.6,2022,1
"Morrison, Rob",Kootenay—Columbia,Conservative,63905.09,17081.98,500.01,17080.02,2022,1
"Morrissey, Robert",Egmont,Liberal,46261.8,0.0,0.0,5812.49,2022,1
"Motz, Glen",Medicine Hat—Cardston—Warner,Conservative,51292.97,17933.07,0.0,16679.86,2022,1
"Murray, Hon. Joyce",Vancouver Quadra,Liberal,47079.3,4858.47,35.0,19208.33,2022,1
"Nater, John",Perth—Wellington,Conservative,53956.2,12517.2,54.84,14558.11,2022,1
"Ng, Hon. Mary",Markham—Thornhill,Liberal,54792.41,7305.56,0.0,26668.8,2022,1
"Normandin, Christine",Saint-Jean,Bloc Québécois,51856.66,7156.71,431.61,15905.3,2022,1
"O'Connell, Jennifer",Pickering—Uxbridge,Liberal,58551.81,7400.0,0.0,10208.62,2022,1
"Oliphant, Robert",Don Valley West,Liberal,61323.38,0.0,0.0,20320.09,2022,1
"O'Regan, Hon. Seamus",St. John's South—Mount Pearl,Liberal,42283.62,9470.84,131.02,17231.24,2022,1
"O'Toole, Hon. Erin",Durham,Conservative,66845.47,0.0,-3.1,15360.86,2022,1
"Patzer, Jeremy",Cypress Hills—Grasslands,Conservative,44935.6,16293.18,36.13,17438.92,2022,1
"Paul-Hus, Pierre",Charlesbourg—Haute-Saint-Charles,Conservative,48059.65,11524.72,380.17,25249.22,2022,1
"Pauzé, Monique",Repentigny,Bloc Québécois,54313.2,1292.66,1.95,16162.2,2022,1
"Perron, Yves",Berthier—Maskinongé,Bloc Québécois,56384.46,8290.8,60.89,30338.73,2022,1
"Petitpas Taylor, Hon. Ginette",Moncton—Riverview—Dieppe,Liberal,47914.8,7173.0,92.21,17788.37,2022,1
"Plamondon, Louis",Bécancour—Nicolet—Saurel,Bloc Québécois,45213.39,0.0,0.0,21776.7,2022,1
"Poilievre, Hon. Pierre",Carleton,Conservative,50485.34,0.0,0.0,15018.81,2022,1
"Powlowski, Marcus",Thunder Bay—Rainy River,Liberal,59499.93,0.0,0.0,18513.12,2022,1
"Qaqqaq, Mumilaaq",Nunavut,New Democratic Party,39312.86,14822.12,0.0,14854.04,2022,1
"Qualtrough, Hon. Carla",Delta,Liberal,49085.34,7000.0,0.0,37801.8,2022,1
"Ratansi, Yasmin",Don Valley East,Independent,27635.81,3849.52,0.0,20787.2,2022,1
"Rayes, Alain",Richmond—Arthabaska,Conservative,66230.49,11817.78,474.16,21984.18,2022,1
"Redekopp, Brad",Saskatoon West,Conservative,47933.85,4841.83,98.1,29514.11,2022,1
"Regan, Hon. Geoff",Halifax West,Liberal,57972.35,7600.0,0.0,11379.07,2022,1
"Reid, Scott",Lanark—Frontenac—Kingston,Conservative,29573.97,0.0,0.0,19461.98,2022,1
"Rempel Garner, Hon. Michelle",Calgary Nose Hill,Conservative,50851.8,19517.37,538.63,23632.48,2022,1
"Richards, Blake",Banff—Airdrie,Conservative,50344.6,12852.94,0.0,16170.72,2022,1
"Robillard, Yves",Marc-Aurèle-Fortin,Liberal,54188.88,8964.28,440.98,16605.42,2022,1
"Rodriguez, Hon. Pablo",Honoré-Mercier,Liberal,55006.1,3341.96,0.0,16615.72,2022,1
"Rogers, Churence",Bonavista—Burin—Trinity,Liberal,55811.1,7524.0,0.0,13784.31,2022,1
"Romanado, Sherry",Longueuil—Charles-LeMoyne,Liberal,62861.45,7785.55,145.63,19784.79,2022,1
"Rood, Lianne",Lambton—Kent—Middlesex,Conservative,54523.95,13321.25,70.72,20265.66,2022,1
"Rota, Hon. Anthony",Nipissing—Timiskaming,Liberal,61075.25,4006.8,0.0,15480.01,2022,1
"Ruff, Alex",Bruce—Grey—Owen Sound,Conservative,56621.63,2226.27,0.0,17425.39,2022,1
"Sahota, Jag",Calgary Skyview,Conservative,42245.8,4058.94,0.0,28337.57,2022,1
"Sahota, Ruby",Brampton North,Liberal,52435.9,0.0,0.0,13513.62,2022,1
"Saini, Raj",Kitchener Centre,Liberal,49846.14,0.0,0.0,14187.22,2022,1
"Sajjan, Hon. Harjit S.",Vancouver South,Liberal,33942.79,10000.0,1552.83,24708.26,2022,1
"Saks, Ya'ara",York Centre,Liberal,55785.95,0.0,0.0,18436.4,2022,1
"Samson, Darrell",Sackville—Preston—Chezzetcook,Liberal,44495.62,0.0,0.0,18985.93,2022,1
"Sangha, Ramesh",Brampton Centre,Independent,32484.68,3050.0,1650.0,30110.58,2022,1
"Sarai, Randeep",Surrey Centre,Liberal,50586.9,8800.0,132.82,29912.74,2022,1
"Saroya, Bob",Markham—Unionville,Conservative,49956.5,7206.87,0.0,22631.09,2022,1
"Savard-Tremblay, Simon-Pierre",Saint-Hyacinthe—Bagot,Bloc Québécois,57056.2,12197.95,0.0,32003.59,2022,1
"Scarpaleggia, Francis",Lac-Saint-Louis,Liberal,55369.77,1230.05,0.0,28148.14,2022,1
"Scheer, Hon. Andrew",Regina—Qu'Appelle,Conservative,60193.06,338.02,38.71,19048.94,2022,1
"Schiefke, Peter",Vaudreuil—Soulanges,Liberal,58825.03,1233.48,699.55,26815.83,2022,1
"Schmale, Jamie",Haliburton—Kawartha Lakes—Brock,Conservative,56009.18,16894.48,0.0,18054.17,2022,1
"Schulte, Hon. Deb",King—Vaughan,Liberal,47351.17,7949.6,0.0,16285.37,2022,1
"Seeback, Kyle",Dufferin—Caledon,Conservative,51878.2,12941.71,25.99,35209.12,2022,1
"Serré, Marc",Nickel Belt,Liberal,54268.19,10127.68,0.0,28764.84,2022,1
"Sgro, Hon. Judy A.",Humber River—Black Creek,Liberal,55756.88,3477.03,0.0,14249.95,2022,1
"Shanahan, Brenda",Châteauguay—Lacolle,Liberal,45405.41,8576.0,136.28,18839.28,2022,1
"Sheehan, Terry",Sault Ste. Marie,Liberal,48622.15,7033.08,0.0,15401.68,2022,1
"Shields, Martin",Bow River,Conservative,49555.8,11840.48,19.87,26625.44,2022,1
"Shin, Nelly",Port Moody—Coquitlam,Conservative,24346.86,10018.69,0.0,21056.3,2022,1
"Shipley, Doug",Barrie—Springwater—Oro-Medonte,Conservative,48355.57,9942.98,0.0,19899.07,2022,1
"Sidhu, Maninder",Brampton East,Liberal,50525.45,0.0,0.0,24072.83,2022,1
"Sidhu, Sonia",Brampton South,Liberal,61253.87,3050.0,0.0,20877.44,2022,1
"Sikand, Gagan",Mississauga—Streetsville,Liberal,37927.95,0.0,0.0,14489.73,2022,1
"Simard, Mario",Jonquière,Bloc Québécois,53214.65,13066.26,181.39,19937.94,2022,1
"Simms, Scott",Coast of Bays—Central—Notre Dame,Liberal,48920.95,15195.03,98.25,19650.5,2022,1
"Singh, Jagmeet",Burnaby South,New Democratic Party,45224.92,9600.0,190.54,25474.11,2022,1
"Sloan, Derek",Hastings—Lennox and Addington,Independent,40205.31,22397.59,0.0,18201.18,2022,1
"Sorbara, Francesco",Vaughan—Woodbridge,Liberal,51396.43,0.0,0.0,17031.23,2022,1
"Soroka, Gerald",Yellowhead,Conservative,47238.46,17602.53,0.0,19251.02,2022,1
"Spengemann, Sven",Mississauga—Lakeshore,Liberal,59677.21,0.0,0.0,20426.14,2022,1
"Stanton, Bruce",Simcoe North,Conservative,53947.97,12660.91,0.0,25480.64,2022,1
"Steinley, Warren",Regina—Lewvan,Conservative,48873.05,14002.09,140.75,18037.13,2022,1
"Ste-Marie, Gabriel",Joliette,Bloc Québécois,52739.7,1932.88,0.0,21854.33,2022,1
"Strahl, Mark",Chilliwack—Hope,Conservative,57298.8,7584.36,90.05,19040.05,2022,1
"Stubbs, Shannon",Lakeland,Conservative,53383.32,12814.1,0.0,26448.47,2022,1
"Sweet, David",Flamborough—Glanbrook,Conservative,38827.04,14226.3,0.0,19219.54,2022,1
"Tabbara, Marwan",Kitchener South—Hespeler,Independent,51730.62,0.0,0.0,18001.66,2022,1
"Tassi, Hon. Filomena",Hamilton West—Ancaster—Dundas,Liberal,45021.85,8536.0,0.0,22199.0,2022,1
"Thériault, Luc",Montcalm,Bloc Québécois,45361.88,7635.73,22.35,20356.37,2022,1
"Therrien, Alain",La Prairie,Bloc Québécois,54228.0,10451.32,61.9,19964.12,2022,1
"Tochor, Corey",Saskatoon—University,Conservative,38170.25,3649.49,57.88,34757.05,2022,1
"Trost, Brad",Saskatoon—University,Conservative,0.0,0.0,0.0,4042.6,2022,1
"Trudeau, Right Hon. Justin",Papineau,Liberal,45765.07,0.0,0.0,17401.87,2022,1
"Trudel, Denis",Longueuil—Saint-Hubert,Bloc Québécois,54947.61,9041.7,229.49,28684.15,2022,1
"Turnbull, Ryan",Whitby,Liberal,50985.08,0.0,0.0,23578.71,2022,1
"Uppal, Hon. Tim",Edmonton Mill Woods,Conservative,54932.01,2592.7,89.53,18098.74,2022,1
Vacant,Haldimand—Norfolk,Conservative,9781.94,0.0,0.0,5488.66,2022,1
Vacant,York Centre,Liberal,0.0,0.0,0.0,125.0,2022,1
"Van Bynen, Tony",Newmarket—Aurora,Liberal,52604.04,0.0,0.0,19656.05,2022,1
"van Koeverden, Adam",Milton,Liberal,66487.86,0.0,0.0,19467.36,2022,1
"Van Popta, Tako",Langley—Aldergrove,Conservative,44527.99,14308.96,50.0,24984.5,2022,1
"Vandal, Hon. Dan",Saint Boniface—Saint Vital,Liberal,50347.0,7800.0,0.0,20560.17,2022,1
"Vandenbeld, Anita",Ottawa West—Nepean,Liberal,63887.8,0.0,0.0,13847.92,2022,1
"Vaughan, Adam",Spadina—Fort York,Liberal,45901.72,0.0,0.0,11331.69,2022,1
"Vecchio, Karen",Elgin—Middlesex—London,Conservative,60679.95,12726.81,30.0,18603.57,2022,1
"Vidal, Gary",Desnethé—Missinippi—Churchill River,Conservative,40833.95,10341.47,148.34,12807.27,2022,1
"Viersen, Arnold",Peace River—Westlock,Conservative,68094.3,14043.19,0.0,16595.99,2022,1
"Vignola, Julie",Beauport—Limoilou,Bloc Québécois,45810.8,15266.83,0.0,35902.47,2022,1
"Virani, Arif",Parkdale—High Park,Liberal,51268.15,8733.15,0.0,16705.74,2022,1
"Vis, Brad",Mission—Matsqui—Fraser Canyon,Conservative,66353.91,10077.55,224.88,16663.1,2022,1
"Wagantall, Cathay",Yorkton—Melville,Conservative,66206.3,12323.14,0.0,17857.27,2022,1
"Warkentin, Chris",Grande Prairie—Mackenzie,Conservative,36860.25,5083.69,0.0,23155.44,2022,1
"Waugh, Kevin",Saskatoon—Grasswood,Conservative,53739.0,9799.89,0.0,24411.5,2022,1
"Webber, Len",Calgary Confederation,Conservative,44675.75,7094.0,0.0,20851.28,2022,1
"Weiler, Patrick",West Vancouver—Sunshine Coast—Sea to Sky Country,Liberal,64150.39,7872.53,0.0,21882.21,2022,1
"Wilkinson, Hon. Jonathan",North Vancouver,Liberal,47767.55,7779.48,0.0,29369.68,2022,1
"Williamson, John",New Brunswick Southwest,Conservative,51709.24,5979.6,259.98,35436.48,2022,1
"Wilson-Raybould, Hon. Jody",Vancouver Granville,Independent,39098.45,4164.98,0.0,29163.32,2022,1
"Wong, Hon. Alice",Richmond Centre,Conservative,39529.8,7528.33,0.0,15606.79,2022,1
"Yip, Jean",Scarborough—Agincourt,Liberal,50026.27,0.0,0.0,33228.64,2022,1
"Young, Kate",London West,Liberal,54911.45,5400.0,0.0,25689.52,2022,1
"Yurdiga, David",Fort McMurray—Cold Lake,Conservative,64992.64,11439.75,0.0,29903.75,2022,1
"Zahid, Salma",Scarborough Centre,Liberal,55282.74,7483.05,0.0,21033.79,2022,1
"Zann, Lenore",Cumberland—Colchester,Liberal,63120.19,0.0,0.0,16723.45,2022,1
