Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Laval,0,To meet visitors of Member’s office,Hosting a meeting,M0308159,NESPRESSO,83.00
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0308136,FARM BOY,44.95
2022/07/06,Laval,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0308006,BAGEL STE ROSE,135.86
2022/07/18,Laval,4,"To discuss business of the House, caucus and committees",Hosting a meeting,M0309180,ST-HUBERT,48.00
2022/08/26,Laval,10,To meet constituents,Hosting a meeting,M0312828,NESPRESSO,104.40
2022/09/20,Ottawa,4,To meet visitors of Member’s office,Hosting a reception or open house,M0315417,PARLIAMENT RESTAURENT,127.48
2022/09/22,Ottawa,3,To plan Member's priorities and activities,Hosting a meeting,M0315392,MERMAIDS,90.23
