Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0308661,SingleCup,81.96
2022/06/06,Ottawa,250,To discuss constituency issues with stakeholders,Hosting a reception or open house,M0308685,Andrew Rochon,140.56
2022/06/30,Chatham,40,To meet constituents,Hosting a town hall or community event,M0308690,Compass Group Canada,47.08
2022/06/30,Leamington,50,To meet constituents,Hosting a town hall or community event,M0311734,Tim Hortons,77.99
2022/08/04,Leamington,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0311690,SONA Restaurant,70.85
2022/08/24,Pelee Island,2,To plan Member's priorities and activities,Hosting a staff event,M0314157,Pelee Island Tavern,37.08
2022/08/25,Leamington,50,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0314166,Roma Club of Leamington,475.00
2022/08/30,Blenheim,4,To meet constituents,Hosting a town hall or community event,M0314157,Willow Ridge Golf Club,10.85
2022/08/30,Highgate,12,To meet constituents,Hosting a town hall or community event,M0314157,GraveDiggerz,24.00
2022/08/30,Chatham,10,To meet constituents,Hosting a town hall or community event,M0314157,Satellite Restaurant,45.30
