Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/01,Baie Comeau,0,To meet visitors of Member’s office,Hosting a meeting,M0311660,IGA Baie-Comeau,21.99
2022/05/10,Baie-Comeau,0,To meet constituents,Meal at a community activity or event,M0306210,"CCIM ",125.00
2022/06/01,Ottawa,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0304403,"L3B Sparks ",43.38
2022/06/03,Ottawa,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0305017,"Coscto ",106.32
2022/08/06,Sept-îles,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0311660,Chez Sophie Sept-Îles,113.73
2022/08/08,Baie-Comeau,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0311660,"St-Hubert Express Baie-Comeau ",50.39
2022/08/18,Sept-îles,5,To plan Member's priorities and activities,Hosting a meeting,M0312175,Marché Mellau,116.46
