Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/06/18,Newmarket,10000,To meet constituents,Hosting a town hall or community event,M0306330,York Pride,450.00
2022/06/21,Ottawa,100,To attend staff events including training,Hosting a staff event,M0306324,SuzyQ Doughnuts,216.00
2022/08/30,Thornhill,40,To meet constituents,Community activity or event,M0314399,Tim Hortons,133.75
