Supplier,Description,Date,Total
Arlinda Stonefish,Subject Matter Expert,2022/11/20,200.00
Burlington Public Library,Public Meeting Room Rentals,2022/11/20,108.00
Isabel McMurrich,Subject Matter Expert,2022/11/20,200.00
The Globe and Mail,"Printed Matter, Books, Newspapers and Subscriptions",2022/11/23,27.96
Shoppers Drug Mart,Computer Equipment,2022/11/25,12.34
The Source,Computer Equipment,2022/11/25,9.99
Zoom Video Communications Inc.,Computer Software and Licenses,2022/11/26,20.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2022/11/30,916.52
Star Metroland Media,Advertising,2022/11/30,500.00
RIOCAN MANAGEMENT INC.,Office Rental Related Fees,2022/12/01,859.98
RIOCAN MANAGEMENT INC.,Office Rental,2022/12/01,1603.42
RMI-ITF Burlington Mall,Storage and Warehousing,2022/12/01,145.66
Shoppers Drug Mart,Cleaning Products,2022/12/01,6.99
U-Haul,Equipment Rental (non-hospitality related),2022/12/01,62.19
A3H Imaging Inc.,Promotional Items,2022/12/02,337.50
NGP VAN Inc.,Licencing/Maintenance for Application Software and for Application Development and Delivery Software,2022/12/02,144.78
Home Hardware,"Office Supplies, Stationery and Accessories",2022/12/03,22.97
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2022/12/04,4.79
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2022/12/04,4.49
Shoppers Drug Mart,"Office Supplies, Stationery and Accessories",2022/12/04,0.05
Pattison Outdoor Advertising LP,Advertising,2022/12/05,680.00
Burlington Hydro,Public Utilities,2022/12/06,146.70
INTACT INSURANCE COMPANY,Constituency Office Insurance,2022/12/06,1668.60
Bowker Resolutions,Photography and Video Services,2022/12/07,2200.00
Cogeco Connexion inc.,Constituency Office Internet,2022/12/07,239.95
Lauft,Public Meeting Room Rentals,2022/12/07,50.00
Staples,"Printed Matter, Books, Newspapers and Subscriptions",2022/12/08,0.24
A3H Imaging Inc.,Promotional Items,2022/12/12,105.00
Enbridge,Public Utilities,2022/12/12,119.44
A3H Imaging Inc.,Advertising,2022/12/15,450.00
Pattison Outdoor Advertising LP,Advertising,2022/12/16,80.00
Sky Pixel,Advertising,2022/12/18,500.00
RIOCAN MANAGEMENT INC.,Office Rental,2023/01/01,1603.42
RIOCAN MANAGEMENT INC.,Office Rental Related Fees,2023/01/01,859.98
