Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/04/09,Moncton,15,To celebrate a significant event,Hosting a reception or open house,M0266355,SOBEYS,54.23
2021/04/09,Moncton,15,To celebrate a significant event,Hosting a reception or open house,M0268812,TIM HORTONS,37.98
