Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/03/09,Truro,1,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0302828,Truro and Colchester Chamber of Commerce,30.00
2022/04/21,Truro,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0302836,Truro & Colchester Chamber of Commerce,130.00
2022/05/19,Truro,2,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0302830,Truro & Colchester Chamber of Commerce,60.00
