Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/06,Ottawa,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0301757,House of Commons Food Services — Services de restauration de la Chambre des communes,32.75
2022/04/12,Edmonton,2,To meet constituents,Hosting a meeting,M0300468,Take 5,7.60
2022/04/12,Edmonton,4,To meet constituents,Hosting a meeting,M0303476,The Carrot Community Arts Coffeehouse,33.42
2022/04/13,Edmonton,6,To plan Member's priorities and activities,Hosting a staff event,M0300465,Swiss 2 Go,106.01
2022/04/14,Edmonton,40,To celebrate a significant event,Hosting a town hall or community event,M0300971,Castle Bake,358.75
2022/04/14,Edmonton,6,To plan Member's priorities and activities,Hosting a staff event,M0300465,Root of Beirut,76.23
2022/04/23,Edmonton,20,To discuss constituency issues with stakeholders,Hosting a town hall or community event,M0301115,Elsie Paul,250.00
2022/05/14,Edmonton,300,To meet constituents,Hosting a town hall or community event,M0303327,Bulk Barn,95.28
2022/06/04,Edmonton,100,To meet constituents,"Meal at a gala, reception or ceremony",M0303615,MFRC,140.00
2022/06/12,Edmonton,0,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0303809,Eventbrite,69.98
