Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2022/04/08,Drummondville,0,To meet visitors of Member’s office,Hosting a meeting,M0300870,Metro,10.58
2022/04/14,Drummondville,7,To discuss constituency issues with stakeholders,Hosting a meeting,M0300870,Les Garnements,254.60
2022/04/21,Drummondville,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0300870,À la bonne votre,97.17
2022/04/23,Princeville,100,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0301973,Stucture Hockey Elite AAA BFD,300.00
2022/05/03,Drummondville,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0301982,Marché d'alimentation Francoeur inc.,10.20
2022/05/06,Drummondville,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0301982,Aubier Microbrasserie,183.26
2022/05/18,Drummondville,50,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0303324,CHAMBRE DE COMMERCE ET D'INDUSTRIE DE DRUMMOND,170.00
2022/05/24,Drummondville,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0303981,Nambu restaurant,124.54
2022/05/27,Drummondville,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0303981,Aubier Microbrasserie,243.53
2022/05/27,Drummondville,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0306114,Dépanneur Pavillon Rouge,5.69
2022/05/28,Drummondville,3,To celebrate a significant event,Meal at a community activity or event,M0304035,Centre Communautaire Récréatif St-Jean-Baptiste de Drummondville Inc.,500.00
2022/06/01,Ottawa,6,To attend staff events including training,Hosting a staff event,M0306114,Parliamentary Restaurant,253.78
2022/06/08,Drummondville,250,To meet constituents,Meal at a community activity or event,M0306296,CPSC - Les Petits Bonheurs,280.00
2022/06/09,Drummondville,0,To discuss constituency issues with stakeholders,Hosting a meeting,M0306114,IGA,3.49
2022/06/17,Drummondville,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0306114,Nambu,287.81
