Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/07/23,Beloeil,1,To plan Member's priorities and activities,Hosting a meeting,M0282451,Restaurant Et Caetera,103.29
2021/09/23,Beloeil,1,To meet constituents,Meal at a community activity or event,M0281666,CCIVR,180.00
2021/10/06,Chambly,1,To discuss constituency issues with stakeholders,Hosting a meeting,M0282451,Restaurant La Cochonnerie,89.38
2021/10/11,Brossard,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282451,Houston Avenue Bar et Grill,151.90
2021/10/15,Beloeil,3,To plan Member's priorities and activities,Hosting a meeting,M0283238,Hôtel Rive Gauche,186.47
2021/10/16,Mont-Saint-Hilaire,7,To meet constituents,Meal at a community activity or event,M0282449,"Maison Amerindienne, La",521.84
2021/10/25,Chambly,5,To discuss constituency issues with stakeholders,Hosting a meeting,M0283238,L'Oeufrier Chambly,137.17
2021/11/08,Beloeil,4,To plan Member's priorities and activities,Hosting a meeting,M0285039,Ben & Florentine,107.36
2021/11/28,Chambly,1,To meet constituents,"Meal at a gala, reception or ceremony",M0285039,POSA Source des Monts,60.00
2021/12/03,Beloeil,1,To plan Member's priorities and activities,Hosting a meeting,M0286424,St-Hubert Beloeil,43.02
2021/12/15,Saint-Charles-sur-Richelieu,1,To meet constituents,"Meal at a gala, reception or ceremony",M0287011,CCIVR,180.00
