Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/04/01,Orléans,0,To meet visitors of Member’s office,Hosting a meeting,M0284500,Costco Wholesale,36.49
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0285937,Nespresso,168.40
2021/10/21,Ottawa,3,To meet constituents,Hosting a meeting,M0282921,Costco Wholesale,36.49
2021/10/21,Ottawa,2,"To discuss business of the House, caucus and committees",Hosting a staff event,M0282955,The Bad Alibi,44.99
2021/10/28,Ottawa,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0280810,Ecology Ottawa,160.00
2021/11/05,Ottawa,8,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0284500,Royal Canadian Legion,8.40
2021/11/05,Ottawa,8,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0284500,Prestige Catering,23.40
2021/11/13,Ottawa,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0284500,Royal Canadian Legion,150.00
2021/11/18,Toronto,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0282921,Fondation franco-ontarienne,225.00
2021/12/01,Ottawa,1,To meet constituents,Meal at a community activity or event,M0287236,The Rotary Club of Orleans,80.00
2021/12/03,Ottawa,1,To celebrate a significant event,"Meal at a gala, reception or ceremony",M0284500,Christmas Cheer Foundation,150.00
