Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total
2021/04/01,Halifax,0,To meet visitors of Member’s office,Hosting a meeting,M0287529,Costco,16.99
2021/08/07,Halifax,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0281845,Miel et Burre Breakfast,37.25
2021/08/11,Halifax,2,To meet constituents,Hosting a meeting,M0281845,Mercantile social,49.00
2021/10/02,Halifax,12,To discuss constituency issues with stakeholders,Hosting a meeting,M0281844,Agricola st brassierie,633.45
2021/10/25,Halifax,3,To discuss constituency issues with stakeholders,Hosting a meeting,M0282947,Ardmore Tea Room,39.67
2021/11/10,Halifax,10,To discuss constituency issues with stakeholders,Hosting a meeting,M0285010,Ristorante A Mano,47.73
2021/11/11,Halifax,4,To meet constituents,Meal at a community activity or event,M0285007,Steak and Stein,33.47
2021/11/15,Ottawa,8,"To discuss business of the House, caucus and committees",Hosting a meeting,M0285007,The Claredon Tavern,186.00
2021/11/17,Halifax,4,To discuss constituency issues with stakeholders,Hosting a meeting,M0287870,Cha Baa Thai,52.30
2021/11/19,Halifax,6,"To discuss business of the House, caucus and committees",Hosting a meeting,M0285007,Smyrna,86.50
2021/12/07,Halifax,0,To discuss constituency issues with stakeholders,Meal at a community activity or event,M0287509,Phoenix Youth Programs,95.00
2021/12/08,Halifax,6,To discuss constituency issues with stakeholders,Hosting a meeting,M0287870,Black Sheep,51.75
2021/12/10,Halifax,2,To discuss constituency issues with stakeholders,Hosting a meeting,M0287870,Bird's Nest Cafe,10.95
